epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5563,1.59592,4.06892,1.45509,0,0,0,0,2.20702,4.80512,2.399,0,0,0
2,16.2713,1.48755,4.64173,1.52368,0,0,0,0,2.0925,4.59889,2.26038,1.901e-05,1.901e-05,1.901e-05
3,20.9454,1.40055,4.01069,1.36721,0.00111,0.25,0.00082,8e-05,1.94543,4.50569,1.9778,3.604e-05,3.604e-05,3.604e-05
4,25.0103,1.215,3.64744,1.15091,0.00111,0.25,0.0024,0.00107,1.68845,4.23888,1.67731,5.109e-05,5.109e-05,5.109e-05
5,29.1672,1.04236,3.51738,1.05279,0.00111,0.25,0.0064,0.00341,1.40447,4.04504,1.43842,6.416e-05,6.416e-05,6.416e-05
6,33.1912,1.0307,3.62147,1.03135,0.00111,0.25,0.02764,0.01382,1.28283,4.04378,1.3543,7.525e-05,7.525e-05,7.525e-05
7,37.1943,0.74973,3.59494,1.00508,0.00222,0.5,0.04401,0.02631,1.27049,3.92558,1.2582,8.436e-05,8.436e-05,8.436e-05
8,41.2202,1.04414,3.34386,1.02572,0.00222,0.5,0.10146,0.06088,1.25763,3.87306,1.25327,9.149e-05,9.149e-05,9.149e-05
9,45.2556,0.95733,3.29111,0.96629,0.00222,0.5,0.2789,0.17237,1.26929,3.91111,1.23552,9.664e-05,9.664e-05,9.664e-05
10,49.2697,0.84472,3.00372,0.96786,0.00222,0.5,0.41223,0.25598,1.26659,3.72423,1.16717,9.981e-05,9.981e-05,9.981e-05
11,53.268,0.7899,3.26689,0.9312,0.00222,0.5,0.49557,0.35919,1.14755,3.71761,1.12387,0.000101,0.000101,0.000101
12,57.2892,0.99709,3.51436,0.93853,0.00222,0.5,0.49557,0.35919,1.06364,3.69584,1.09891,0.00010021,0.00010021,0.00010021
13,61.3026,1.0047,3.28095,0.93065,0.00333,0.75,0.49627,0.35961,1.11401,3.6321,1.04861,9.744e-05,9.744e-05,9.744e-05
14,65.3043,0.79346,3.49583,0.94403,0.00333,0.75,0.49646,0.35972,1.11818,3.59548,1.03958,9.269e-05,9.269e-05,9.269e-05
15,69.3658,0.76891,3.07164,0.86498,0.00333,0.75,0.49643,0.3597,1.16093,3.52843,1.0167,8.596e-05,8.596e-05,8.596e-05
16,73.4422,0.86086,3.36073,0.91964,0.00333,0.75,0.4964,0.35977,1.10159,3.52077,1.00511,7.725e-05,7.725e-05,7.725e-05
17,77.5061,0.59862,3.29103,0.86738,0.00333,0.75,0.49651,0.35985,1.06961,3.52666,1.006,6.656e-05,6.656e-05,6.656e-05
18,81.4376,0.74412,3.23698,0.91188,0.00333,0.75,0.49651,0.35985,1.06961,3.52666,1.006,5.389e-05,5.389e-05,5.389e-05
19,85.3929,0.6157,3.05541,0.8373,0.00333,0.75,0.49656,0.35979,1.07225,3.50895,1.02512,3.924e-05,3.924e-05,3.924e-05
20,89.2705,0.6979,3.2314,0.8479,0.00333,0.75,0.49656,0.35979,1.07225,3.50895,1.02512,2.261e-05,2.261e-05,2.261e-05
