epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,249.717,0.75576,1.59121,0.95407,0.86676,0.4,0.61949,0.4015,1.50945,3.07394,1.17012,0.000206784,0.000206784,0.000206784
38,256.254,0.71668,1.51273,0.89421,0.86676,0.4,0.61949,0.4015,1.50945,3.07394,1.17012,0.000197876,0.000197876,0.000197876
39,262.872,0.74251,1.41262,0.89696,0.89647,0.4,0.61347,0.39869,1.63331,3.11981,1.17199,0.000188176,0.000188176,0.000188176
40,269.804,0.63642,1.35877,0.87893,0.89647,0.4,0.61347,0.39869,1.63331,3.11981,1.17199,0.000177684,0.000177684,0.000177684
41,276.46,0.80088,2.02163,0.89478,0.866,0.4,0.60835,0.37697,1.61171,3.02468,1.14798,0.0001664,0.0001664,0.0001664
42,283.051,0.71598,2.06809,0.87513,0.866,0.4,0.60835,0.37697,1.61171,3.02468,1.14798,0.000154324,0.000154324,0.000154324
43,289.535,0.65468,1.79466,0.8457,0.80637,0.4,0.60015,0.38892,1.52514,3.07378,1.14037,0.000141456,0.000141456,0.000141456
44,295.907,0.66609,1.95992,0.85129,0.80637,0.4,0.60015,0.38892,1.52514,3.07378,1.14037,0.000127796,0.000127796,0.000127796
45,302.37,0.64258,1.96303,0.86332,0.80179,0.4,0.59392,0.38922,1.5146,3.08357,1.10501,0.000113344,0.000113344,0.000113344
46,308.739,0.6794,1.88805,0.83953,0.80179,0.4,0.59392,0.38922,1.5146,3.08357,1.10501,9.81e-05,9.81e-05,9.81e-05
47,315.176,0.66334,1.82912,0.83737,0.79704,0.4,0.5939,0.38922,1.48962,3.12167,1.0893,8.2064e-05,8.2064e-05,8.2064e-05
48,321.49,0.59868,1.92952,0.80146,0.79704,0.4,0.5939,0.38922,1.48962,3.12167,1.0893,6.5236e-05,6.5236e-05,6.5236e-05
49,328.42,0.62691,1.90989,0.77946,0.79504,0.4,0.59685,0.39091,1.49373,3.08486,1.08439,4.7616e-05,4.7616e-05,4.7616e-05
50,334.801,0.58847,1.68744,0.8538,0.79504,0.4,0.59685,0.39091,1.49373,3.08486,1.08439,2.9204e-05,2.9204e-05,2.9204e-05
