epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9359,1.3025,4.09909,1.3347,0.00083,0.2,0.00058,0.00029,2.06001,4.71813,2.24753,0,0,0
2,24.9657,1.21563,4.37157,1.42644,0.00083,0.2,0.00058,0.00029,1.97032,4.48898,2.13541,1.9604e-05,1.9604e-05,1.9604e-05
3,31.9413,1.16472,3.81919,1.23242,0.00083,0.2,0.00057,0.00029,1.81481,4.56579,1.94901,3.8416e-05,3.8416e-05,3.8416e-05
4,38.2534,1.15419,3.71763,1.24135,0.00167,0.4,0.00149,0.00044,1.63667,4.16332,1.81038,5.6436e-05,5.6436e-05,5.6436e-05
5,44.2833,0.96348,3.85959,1.05626,0.00167,0.4,0.00468,0.00199,1.49617,4.0693,1.67926,7.3664e-05,7.3664e-05,7.3664e-05
6,50.5703,0.87217,3.66058,1.02808,0.0025,0.6,0.02499,0.01121,1.57451,4.08682,1.53331,9.01e-05,9.01e-05,9.01e-05
7,57.0529,0.97213,3.54117,1.01295,0.0025,0.6,0.07572,0.04179,1.67689,3.83388,1.27491,0.000105744,0.000105744,0.000105744
8,63.3206,0.88563,3.50893,0.98446,0.0025,0.6,0.44551,0.22459,1.5677,3.68016,1.12574,0.000120596,0.000120596,0.000120596
9,69.6472,0.92972,3.20219,0.95428,0.0025,0.6,0.59551,0.30792,1.51288,3.61872,1.06887,0.000134656,0.000134656,0.000134656
10,75.9181,0.97692,3.29725,0.98473,0.00333,0.8,0.59602,0.33743,1.48818,3.58529,1.05397,0.000147924,0.000147924,0.000147924
11,82.2662,1.03403,3.05296,0.9708,0.00333,0.8,0.79535,0.47203,1.47086,3.53134,1.09485,0.0001604,0.0001604,0.0001604
12,88.4687,0.83925,2.87871,0.93492,0.00333,0.8,0.79535,0.49178,1.37408,3.45568,1.09138,0.000172084,0.000172084,0.000172084
13,94.6051,0.88266,2.80053,0.92748,0.00333,0.8,0.79535,0.51633,1.29918,3.3968,1.07902,0.000182976,0.000182976,0.000182976
14,100.654,0.84788,2.62887,0.94538,0.00333,0.8,0.70964,0.493,1.19468,3.45305,1.0805,0.000193076,0.000193076,0.000193076
15,106.697,0.94007,2.51451,1.00192,0.00333,0.8,0.69535,0.48584,1.24617,3.41055,1.06248,0.000202384,0.000202384,0.000202384
16,112.821,0.96762,2.50244,1.03819,0.00417,1,0.71055,0.50049,1.32207,3.37733,1.05046,0.0002109,0.0002109,0.0002109
17,118.854,0.90395,2.59634,0.92771,0.00417,1,0.69648,0.46022,1.33932,3.34403,1.06814,0.000218624,0.000218624,0.000218624
18,124.877,0.90024,2.12838,0.93561,0.00417,1,0.69648,0.46022,1.33932,3.34403,1.06814,0.000225556,0.000225556,0.000225556
19,131.023,0.84076,2.09754,0.93805,0.00417,1,0.62651,0.35553,1.38639,3.34001,1.07821,0.000231696,0.000231696,0.000231696
20,137.581,0.92235,1.80449,1.00208,0.00417,1,0.62651,0.35553,1.38639,3.34001,1.07821,0.000237044,0.000237044,0.000237044
21,144.526,0.91699,1.98589,0.89233,0.00417,1,0.62658,0.37008,1.3076,3.27195,1.08433,0.0002416,0.0002416,0.0002416
22,151.073,0.88652,1.89176,1.01211,0.00417,1,0.62658,0.37008,1.3076,3.27195,1.08433,0.000245364,0.000245364,0.000245364
23,157.707,0.85519,2.12256,0.93975,0.36724,0.8,0.68554,0.43666,1.22832,3.18737,1.13011,0.000248336,0.000248336,0.000248336
24,163.955,1.05186,2.15638,1.04795,0.36724,0.8,0.68554,0.43666,1.22832,3.18737,1.13011,0.000250516,0.000250516,0.000250516
25,170.715,0.89791,1.65459,0.90945,0.74217,0.4,0.63559,0.3937,1.27841,3.17493,1.1209,0.000251904,0.000251904,0.000251904
26,177.359,0.80321,1.45679,0.9576,0.74217,0.4,0.63559,0.3937,1.27841,3.17493,1.1209,0.0002525,0.0002525,0.0002525
27,184.58,0.82945,1.69305,0.9122,0.83286,0.4,0.63558,0.37697,1.2491,3.10307,1.12129,0.000252304,0.000252304,0.000252304
28,191.133,0.76913,1.65514,0.9444,0.83286,0.4,0.63558,0.37697,1.2491,3.10307,1.12129,0.000251316,0.000251316,0.000251316
29,197.812,0.82627,1.70274,0.90446,0.81744,0.4,0.57665,0.38508,1.31071,3.16324,1.14555,0.000249536,0.000249536,0.000249536
30,204.356,0.74399,1.78108,0.96165,0.81744,0.4,0.57665,0.38508,1.31071,3.16324,1.14555,0.000246964,0.000246964,0.000246964
31,210.963,0.68583,1.40765,0.87922,0.64897,0.4,0.5567,0.33732,1.40131,3.11491,1.1394,0.0002436,0.0002436,0.0002436
32,217.347,0.92799,1.64098,0.97017,0.64897,0.4,0.5567,0.33732,1.40131,3.11491,1.1394,0.000239444,0.000239444,0.000239444
33,223.759,0.81789,1.51752,0.93841,0.83769,0.4,0.53839,0.33539,1.3173,3.17587,1.14785,0.000234496,0.000234496,0.000234496
34,230.237,0.71159,1.39984,0.89618,0.83769,0.4,0.53839,0.33539,1.3173,3.17587,1.14785,0.000228756,0.000228756,0.000228756
35,236.681,0.77113,1.726,0.92678,0.84716,0.4,0.54399,0.3547,1.3702,3.08568,1.14002,0.000222224,0.000222224,0.000222224
36,243.297,0.68859,1.57191,0.83216,0.84716,0.4,0.54399,0.3547,1.3702,3.08568,1.14002,0.0002149,0.0002149,0.0002149
