epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1594,1.2504,4.18203,1.4552,0.00222,0.5,0.00197,0.00086,1.48158,4.52301,1.86087,0,0,0
2,22.9727,1.36014,3.9791,1.37524,0.00222,0.5,0.00209,0.00112,1.46319,4.47031,1.82602,1.901e-05,1.901e-05,1.901e-05
3,27.4027,1.4077,3.91106,1.47204,0.00222,0.5,0.0026,0.00138,1.34617,4.23454,1.69724,3.604e-05,3.604e-05,3.604e-05
4,31.4978,1.17447,3.93574,1.19964,0.00222,0.5,0.0085,0.00394,1.14204,4.16475,1.56345,5.109e-05,5.109e-05,5.109e-05
5,35.4275,1.09708,3.62499,1.0971,0.00222,0.5,0.13223,0.09592,1.05275,3.97241,1.30178,6.416e-05,6.416e-05,6.416e-05
6,39.2244,1.18362,3.73262,1.16034,0.00222,0.5,0.41223,0.26376,0.95406,3.73582,1.16028,7.525e-05,7.525e-05,7.525e-05
7,42.928,0.97288,3.12854,1.05549,0.00222,0.5,0.49557,0.33422,0.97527,3.60663,1.08125,8.436e-05,8.436e-05,8.436e-05
8,46.9871,0.90158,3.22484,1.03226,0.00333,0.75,0.49717,0.33499,0.92013,3.50564,0.97389,9.149e-05,9.149e-05,9.149e-05
9,51.3516,0.91431,3.35935,0.98916,0.00333,0.75,0.49717,0.33518,0.83013,3.49368,0.9446,9.664e-05,9.664e-05,9.664e-05
10,56.1857,0.86342,2.66787,0.95245,0.00333,0.75,0.49718,0.34747,0.8635,3.48692,0.92893,9.981e-05,9.981e-05,9.981e-05
11,60.9198,0.71618,2.69871,0.96891,0.00333,0.75,0.49719,0.39616,0.88175,3.44934,0.91849,0.000101,0.000101,0.000101
12,66.0833,0.89118,2.98182,1.04679,0.00333,0.75,0.49718,0.34683,0.84264,3.38713,0.94647,0.00010021,0.00010021,0.00010021
13,71.2398,0.90683,2.3667,0.83747,0.00333,0.75,0.49713,0.37175,0.81206,3.33609,0.92606,9.744e-05,9.744e-05,9.744e-05
14,76.3236,0.84767,2.48883,0.9313,0.00333,0.75,0.49712,0.42145,0.78086,3.26948,0.90663,9.269e-05,9.269e-05,9.269e-05
15,81.4106,0.90325,2.13768,0.92646,0.00333,0.75,0.49712,0.42186,0.78921,3.25035,0.91345,8.596e-05,8.596e-05,8.596e-05
16,86.1905,0.76176,2.27116,0.89017,0.00333,0.75,0.49714,0.42188,0.79542,3.2904,0.91412,7.725e-05,7.725e-05,7.725e-05
17,90.03,0.79821,2.25142,0.85894,0.00333,0.75,0.49716,0.44694,0.82259,3.26965,0.9027,6.656e-05,6.656e-05,6.656e-05
18,94.139,0.73154,1.99292,0.84018,0.00333,0.75,0.49716,0.44694,0.82259,3.26965,0.9027,5.389e-05,5.389e-05,5.389e-05
19,98.1408,0.75896,1.98217,0.93,0.00333,0.75,0.49718,0.44696,0.84525,3.2535,0.89744,3.924e-05,3.924e-05,3.924e-05
20,101.998,0.76531,2.02212,0.84172,0.00333,0.75,0.49718,0.44696,0.84525,3.2535,0.89744,2.261e-05,2.261e-05,2.261e-05
